4 Be 113.7614679
5 B 67.75956284
6 C 44.76534296
7 N 31.55216285
8 O 23.61904762
9 F 18.31610044
10 Ne 14.62264151 14.45221445
11 Na 11.91162344 11.57796452
12 Mg 9.896249002 9.523809524
13 Al 8.338937458 7.964033398
14 Si 7.126436782 6.753812636
15 P 6.156901688 5.797101449
16 S 5.372616984 5.032467532
17 Cl 4.72921434 4.403409091
18 Ar 4.192021636 3.887147335
19 K 3.741701871 3.454038997
20 Ca 3.358613218 3.089957638
21 Sc 3.031784841 2.779645819
22 Ti 2.748836178 2.514193025
23 V 2.504038772 2.284871937
24 Cr 2.289935365 2.085084917
25 Mn 2.102051195 1.910631741
26 Fe 1.936289819 1.756871635
27 Co 1.789321789 1.621126945
28 Ni 1.658197379 1.50030248
29 Cu 1.540755467 1.392476137
30 Zn 1.435351314 1.295445048
31 Ga 1.340250757 1.20728264
32 Ge 1.254172145 1.129017573
33 As 1.176024279 1.057388932
34 Se 1.104972376 0.992317542
35 Br 1.03991949 0.932891965
36 Kr 0.980237154 0.878622547
37 Rb 0.925649448 0.828766208
38 Sr 0.87533531 0.783026017
39 Y 0.828987833 0.740873514
40 Zr 0.786303107 0.702072245
41 Nb 0.746313572 0.665843312
42 Mo 0.709422736 0.632394941
43 Tc 0.675123863 0.60138707
44 Ru 0.643186887 0.572589583
45 Rh 0.613375544 0.545702592
46 Pd 0.585513268 0.520592804
47 Ag 0.559491044 0.497133464
48 Cd 0.535105511 0.475186817
49 In 0.512206204 0.454628781
50 Sn 0.490661602 0.435225159
51 Sb 0.470427558 0.417157275
52 Te 0.451368666 0.400064527
53 I 0.433384594 0.383960365
54 Xe 0.416400819 0.368773234
55 Cs 0.400348691 0.354437616
56 Ba 0.385164938 0.340865358
57 La 0.370791221 0.328024972
58 Ce 0.357142857 0.315859188
59 Pr 0.344195859 0.304309414
60 Nd 0.331896898 0.29333838
61 Pm 0.320206585 0.282943525
62 Sm 0.30908819 0.273049567
63 Eu 0.298493091 0.26362786
64 Gd 0.288398921 0.254641038
65 Tb 0.278770711 0.246119646
66 Dy 0.269571078 0.237917074
67 Ho 0.260794582 0.230149597
68 Er 0.252401889 0.22269715
69 Tm 0.244373497 0.215603429
70 Yb 0.236690908 0.208845623
71 Lu 0.229332347 0.202330059
72 Hf 0.222262054 0.196090834
73 Ta 0.215528479 0.190122813
74 W 0.209042786 0.184403069
75 Re 0.202813216 0.178908944
76 Os 0.196822273 0.173630559
77 Ir 0.191074951 0.168569875
78 Pt 0.185539861 0.163694209
79 Au 0.18022208 0.159004937
80 Hg 0.175094254 0.154495957
81 Tl 0.170161379 0.150166515
82 Pb 0.165401699 0.145992277
83 Bi 0.160792552 0.141951141
84 Po 0.15636625 0.138083095
85 At 0.152104314 0.134341618
86 Rn 0.147983722 0.130710687
87 Fr 0.143995169 0.127209496
88 Ra 0.140151001 0.123839009
89 Ac 0.136437657 0.120568617
90 Th 0.13282204 0.117412012
91 Pa 0.129324281 0.114354221
92 U 0.125965055 0.111407599
93 Np 0.122689674 0.108540567
94 Pu 0.119505402 0.105747009
95 Am 0.116406785 0.103024261
96 Cm 0.113459603 0.100467498
97 Bk 0.110578038 0.097897571
98 Cf 0.106868913 0.094764274
99 Es 0.104131676 0.092373248
100 Fm 0.1014813 0.090055413
101 Md 0.098891459 0.087797556
102 No 0.096378051 0.085604617
103 Lw 0.093925163 0.083406202

